,date,t1,id1,g1,g2,id2,t2,tourn
1952,2013.04.30,Tigre,39,2,1,616,Olimpia Asuncion,Copa Libertadores
1953,2013.05.01,Boca Juniors,10,1,0,214,Corinthians,Copa Libertadores
1954,2013.05.01,Gremio,224,2,1,427,Santa Fe,Copa Libertadores
1955,2013.05.02,Emelec,510,2,1,220,Fluminense,Copa Libertadores
1956,2013.05.02,Sao Paulo,239,1,2,205,Atletico-MG,Copa Libertadores
1957,2013.05.08,Fluminense,220,2,0,510,Emelec,Copa Libertadores
1958,2013.05.08,Atletico-MG,205,4,1,239,Sao Paulo,Copa Libertadores
1959,2013.05.09,Nacional,817,1,0,722,Garcilaso,Copa Libertadores
1960,2013.05.15,Velez Sarsfield,42,1,2,25,Newells Old Boys,Copa Libertadores
1961,2013.05.15,Corinthians,214,1,1,10,Boca Juniors,Copa Libertadores
1962,2013.05.16,Olimpia Asuncion,616,2,0,39,Tigre,Copa Libertadores
1963,2013.05.16,Santa Fe,427,1,0,224,Gremio,Copa Libertadores
1964,2013.05.22,Garcilaso,722,1,3,427,Santa Fe,Copa Libertadores
1965,2013.05.22,Fluminense,220,0,0,616,Olimpia Asuncion,Copa Libertadores
1966,2013.05.23,Boca Juniors,10,0,0,25,Newells Old Boys,Copa Libertadores
1967,2013.05.28,Santa Fe,427,2,0,722,Garcilaso,Copa Libertadores
1968,2013.05.29,Newells Old Boys,25,0,0,10,Boca Juniors,Copa Libertadores
1969,2013.05.29,Olimpia Asuncion,616,2,1,220,Fluminense,Copa Libertadores
1970,2013.07.02,Olimpia Asuncion,616,2,0,427,Santa Fe,Copa Libertadores
1971,2013.07.03,Sao Paulo,239,1,2,214,Corinthians,Recopa Sudamericana
1972,2013.07.03,Newells Old Boys,25,2,0,205,Atletico-MG,Copa Libertadores
1973,2013.07.09,Santa Fe,427,1,0,616,Olimpia Asuncion,Copa Libertadores
1974,2013.07.10,Atletico-MG,205,2,0,25,Newells Old Boys,Copa Libertadores
1975,2013.07.17,Corinthians,214,2,0,239,Sao Paulo,Recopa Sudamericana
1976,2013.07.17,Olimpia Asuncion,616,2,0,205,Atletico-MG,Copa Libertadores
1977,2013.07.24,Atletico-MG,205,2,0,616,Olimpia Asuncion,Copa Libertadores
1978,2013.07.30,Trujillanos,930,0,1,419,La Equidad,Copa Sudamericana
1979,2013.07.30,LDU Loja,516,2,0,920,Lara,Copa Sudamericana
1980,2013.07.30,Ayacucho,707,0,1,403,Atl. Nacional,Copa Sudamericana
1981,2013.07.30,Aguilas,401,3,0,725,Juan Aurich,Copa Sudamericana
1982,2013.07.30,Real Potosi,121,3,1,330,U. De Chile,Copa Sudamericana
1983,2013.07.30,Nacional Asuncion,615,0,0,126,The Strongest,Copa Sudamericana
1984,2013.07.31,Dep. Pasto,411,3,0,721,FBC Melgar,Copa Sudamericana
1985,2013.07.31,U. Catolica,329,1,1,604,Cerro Porteno,Copa Sudamericana
1986,2013.07.31,Blooming,105,0,1,826,River Plate2,Copa Sudamericana
